# #fds	select	poll	epoll
100	54	70	52
200	53	57	9
300	75	86	11
400	107	122	17
500	189	186	16
600	225	221	22
700	305	272	22
800	277	425	23
900	414	450	27
1000	419	473	32
1100	400	540	33
1200	439	566	41
1300	521	828	43
1400	607	633	41
1500	728	728	40
1600	684	883	46
1700	758	969	52
1800	788	1055	48
1900	831	1170	53
2000	1027	922	51
2100	819	1076	53
2200	958	1014	61
2300	918	1356	59
2400	1096	1169	66
2500	1063	1244	64
2600	1053	1483	70
2700	1133	1683	72
2800	1211	1634	74
2900	1196	1774	76
3000	1301	1700	74
3100	1367	1697	76
3200	1282	1706	79
3300	1425	1770	79
3400	1411	1940	83
3500	1486	1940	88
3600	1608	1889	90
3700	1497	1991	90
3800	1500	2027	90
3900	1633	2044	94
4000	1703	1983	103
4100	1818	2073	103
4200	1982	2127	112
4300	1972	2391	103
4400	2005	2346	112
4500	2145	2477	106
4600	2061	2315	108
4700	2092	2462	111
4800	2350	2508	115
4900	2460	2843	115
5000	2196	2636	119
5100	2331	2645	121
5200	2323	2700	125
5300	2436	2700	124
5400	2313	2903	126
5500	2343	2985	128
5600	2429	2902	139
5700	2517	2959	143
5800	2542	2878	135
5900	2575	2972	139
6000	2625	3045	139
6100	2746	3126	144
6200	2694	3170	155
6300	2687	3242	148
6400	2986	3335	161
6500	2852	3224	152
6600	2861	3266	184
6700	2949	3378	154
6800	3091	3638	157
6900	2980	3627	167
7000	3004	3449	161
7100	3079	3476	164
7200	3238	3507	182
7300	3130	3622	172
7400	3066	3644	185
7500	3326	3680	178
7600	3261	3791	183
7700	3215	3739	200
7800	3385	3874	210
7900	3417	3855	183
8000	3426	3865	187
8100	3501	4040	185
8200	3530	4111	187
8300	3576	4234	197
8400	3518	4186	197
8500	3593	4220	194
8600	3954	4207	196
8700	3717	4490	197
8800	3822	4425	225
8900	3935	4678	202
9000	3869	4839	205
9100	4311	5014	206
9200	4319	4529	508
9300	3937	4742	210
9400	4075	4766	230
9500	3992	5111	219
9600	4478	4800	217
9700	4036	5073	218
9800	4120	4855	222
9900	4347	5273	245
10000	4241	4943	224
10100	4215	5176	231
10200	4374	4941	230
10300	4333	5087	234
10400	4993	5211	236
10500	4279	5253	237
10600	4525	5018	240
10700	4803	5211	244
10800	4403	5288	243
10900	4703	5397	251
11000	4635	5449	247
11100	4712	5236	250
11200	4810	5679	252
11300	4714	5605	260
11400	4857	5650	258
11500	4907	5561	258
11600	4869	5734	264
11700	4807	6318	270
11800	4605	5750	276
11900	4970	5832	280
12000	4955	5962	276
12100	4891	5885	280
12200	5146	5880	291
12300	5041	5953	302
12400	5049	6075	279
12500	4984	6047	281
12600	5120	6024	283
12700	5156	6073	309
12800	5126	6161	304
12900	5259	6079	294
13000	5233	6322	293
13100	5266	6192	294
13200	5313	6201	296
13300	5279	6650	299
13400	5530	6495	300
13500	5413	6658	303
13600	5551	6478	330
13700	5466	6517	306
13800	5803	6583	308
13900	5654	6543	310
14000	5922	6715	317
14100	5849	6589	320
14200	5773	6644	316
14300	5891	6763	347
14400	5750	6862	322
14500	5714	6797	367
14600	5905	6679	327
14700	5737	7138	334
14800	6030	6879	330
14900	5954	7035	334
15000	6260	7255	336
